energy,flux
7.14,737689.154
7.16,736855.569
7.18,735992.396
7.2,735124.671
7.22,734231.341
7.24,733312.406
7.26,732365.59
7.28,731393.738
7.3,730413.92
7.32,729409.635
7.34,728379.745
7.36,727321.974
7.38,726242.581
7.4,725152.946
7.42,724038.844
7.44,722899.706
7.46,721732.118
7.48,720547.46
7.5,719349.715
7.52,718128.072
7.54,716881.393
7.56,715605.695
7.58,714318.617
7.6,713015.607
7.62,711689.268
7.64,710337.893
7.66,708956.361
7.68,707569.139
7.7,706163.14
7.72,704733.812
7.74,703278.879
7.76,701793.22
7.78,700309.837
7.8,698803.125
7.82,697274.222
7.84,695720.283
7.86,694137.894
7.88,692556.074
7.9,690951.494
7.92,689324.723
7.94,687673.485
7.96,685997.211
7.98,684319.23
8,682620.196
8.02,680898.402
8.04,679151.572
8.06,677384.827
8.08,675614.099
8.1,673822.318
8.12,672008.346
8.14,670169.338
8.16,668314.967
8.18,666453.768
8.2,664571.516
8.22,662668.211
8.24,660738.732
8.26,658799.58
8.28,656851.324
8.3,654882.584
8.32,652892.222
8.34,650875.686
8.36,648856.305
8.38,646823.837
8.4,644771.454
8.42,642698.018
8.44,640597.27
8.46,638501.074
8.48,636387.808
8.5,634255.196
8.52,632102.1
8.54,629922.261
8.56,627749.819
8.58,625558.6
8.6,623349.173
8.62,621118.693
8.64,618866.591
8.66,616619.61
8.68,614354.421
8.7,612071.024
8.72,609766.574
8.74,607445.054
8.76,605126.379
8.78,602791.203
8.8,600437.25
8.82,598063.951
8.84,595676.996
8.86,593290.61
8.88,590887.154
8.9,588466.628
8.92,586024.48
8.94,583576.642
8.96,581124.821
8.98,578657.637
9,576172.814
9.02,573666.938
9.04,571161.062
9.06,568649.496
9.08,566122.567
9.1,563579.137
9.12,561011.809
9.14,558454.154
9.16,555885.688
9.18,553302.428
9.2,550702.667
9.22,548080.715
9.24,545472.419
9.26,542850.467
9.28,540214.29
9.3,537562.181
9.32,534891.864
9.34,532233.496
9.36,529562.041
9.38,526877.499
9.4,524176.456
9.42,521462.326
9.44,518758.438
9.46,516042.032
9.48,513312.539
9.5,510567.683
9.52,507814.292
9.54,505068.298
9.56,502311.493
9.58,499541.601
9.6,496755.208
9.62,493967.677
9.64,491184.129
9.66,488389.77
9.68,485583.462
9.7,482760.084
9.72,479942.396
9.74,477125.277
9.76,474297.347
9.78,471458.037
9.8,468600.519
9.82,465758.364
