costheta,flux
-1.000000,0.014866
-0.990000,0.014745
-0.980000,0.014620
-0.970000,0.014494
-0.960000,0.014369
-0.950000,0.014244
-0.940000,0.014121
-0.930000,0.013999
-0.920000,0.013877
-0.910000,0.013755
-0.900000,0.013630
-0.890000,0.013505
-0.880000,0.013380
-0.870000,0.013254
-0.860000,0.013126
-0.850000,0.012997
-0.840000,0.012868
-0.830000,0.012739
-0.820000,0.012608
-0.810000,0.012477
-0.800000,0.012345
-0.790000,0.012212
-0.780000,0.012080
-0.770000,0.011946
-0.760000,0.011812
-0.750000,0.011679
-0.740000,0.011544
-0.730000,0.011408
-0.720000,0.011273
-0.710000,0.011137
-0.700000,0.011000
-0.690000,0.010861
-0.680000,0.010724
-0.670000,0.010586
-0.660000,0.010446
-0.650000,0.010306
-0.640000,0.010165
-0.630000,0.010024
-0.620000,0.009884
-0.610000,0.009741
-0.600000,0.009598
-0.590000,0.009454
-0.580000,0.009311
-0.570000,0.009168
-0.560000,0.009024
-0.550000,0.008879
-0.540000,0.008732
-0.530000,0.008585
-0.520000,0.008437
-0.510000,0.008289
-0.500000,0.008142
-0.490000,0.007993
-0.480000,0.007845
-0.470000,0.007694
-0.460000,0.007544
-0.450000,0.007392
-0.440000,0.007239
-0.430000,0.007086
-0.420000,0.006933
-0.410000,0.006781
-0.400000,0.006628
-0.390000,0.006473
-0.380000,0.006319
-0.370000,0.006164
-0.360000,0.006008
-0.350000,0.005851
-0.340000,0.005693
-0.330000,0.005534
-0.320000,0.005374
-0.310000,0.005214
-0.300000,0.005054
-0.290000,0.004893
-0.280000,0.004732
-0.270000,0.004572
-0.260000,0.004410
-0.250000,0.004247
-0.240000,0.004084
-0.230000,0.003920
-0.220000,0.003755
-0.210000,0.003589
-0.200000,0.003423
-0.190000,0.003257
-0.180000,0.003090
-0.170000,0.002923
-0.160000,0.002754
-0.150000,0.002585
-0.140000,0.002416
-0.130000,0.002246
-0.120000,0.002076
-0.110000,0.001905
-0.100000,0.001734
-0.090000,0.001562
-0.080000,0.001390
-0.070000,0.001217
-0.060000,0.001044
-0.050000,0.000870
-0.040000,0.000697
-0.030000,0.000523
-0.020000,0.000349
-0.010000,0.000174
0.000000,0.000000
0.010000,0.000174
0.020000,0.000349
0.030000,0.000523
0.040000,0.000697
0.050000,0.000870
0.060000,0.001044
0.070000,0.001217
0.080000,0.001390
0.090000,0.001562
0.100000,0.002242
0.110000,0.001966
0.120000,0.002122
0.130000,0.002286
0.140000,0.002452
0.150000,0.002620
0.160000,0.002787
0.170000,0.002954
0.180000,0.003229
0.190000,0.003361
0.200000,0.003514
0.210000,0.003673
0.220000,0.003834
0.230000,0.004116
0.240000,0.004240
0.250000,0.004386
0.260000,0.004540
0.270000,0.004829
0.280000,0.004941
0.290000,0.005083
0.300000,0.005439
0.310000,0.005492
0.320000,0.005621
0.330000,0.006000
0.340000,0.006027
0.350000,0.006151
0.360000,0.006479
0.370000,0.006547
0.380000,0.008110
0.390000,0.006889
0.400000,0.007007
0.410000,0.007331
0.420000,0.007400
0.430000,0.007750
0.440000,0.007783
0.450000,0.008151
0.460000,0.008159
0.470000,0.008513
0.480000,0.008524
0.490000,0.008853
0.500000,0.008883
0.510000,0.009185
0.520000,0.009695
0.530000,0.009496
0.540000,0.009837
0.550000,0.009832
0.560000,0.010128
0.570000,0.010463
0.580000,0.011172
0.590000,0.010669
0.600000,0.010990
0.610000,0.011350
0.620000,0.012056
0.630000,0.011469
0.640000,0.011776
0.650000,0.012083
0.660000,0.012397
0.670000,0.012724
0.680000,0.013061
0.690000,0.013415
0.700000,0.013760
0.710000,0.014026
0.720000,0.014194
0.730000,0.014327
0.740000,0.014475
0.750000,0.014638
0.760000,0.014824
0.770000,0.015029
0.780000,0.015247
0.790000,0.016244
0.800000,0.016176
0.810000,0.016308
0.820000,0.017267
0.830000,0.017179
0.840000,0.018183
0.850000,0.017976
0.860000,0.018852
0.870000,0.019872
0.880000,0.022282
0.890000,0.019763
0.900000,0.020654
0.910000,0.023566
0.920000,0.023130
0.930000,0.023552
0.940000,0.025677
0.950000,0.027650
0.960000,0.029267
0.970000,0.033421
0.980000,0.036758
0.990000,0.047229
1.000000,0.095451
