cosphi,flux
-1.000000,7620.950716
-0.990000,7744.517155
-0.980000,7827.185210
-0.970000,7850.703341
-0.960000,7882.342953
-0.950000,7961.144682
-0.940000,7983.169039
-0.930000,7986.232235
-0.920000,8014.745107
-0.910000,8038.502601
-0.900000,8132.345120
-0.890000,8181.116590
-0.880000,8264.523427
-0.870000,8341.941224
-0.860000,8406.972123
-0.850000,8529.390657
-0.840000,8565.027115
-0.830000,8628.799101
-0.820000,8647.622229
-0.810000,8704.842626
-0.800000,8802.947616
-0.790000,8923.277039
-0.780000,8961.440204
-0.770000,8973.552920
-0.760000,8992.417792
-0.750000,9084.407836
-0.740000,9188.470344
-0.730000,9274.540702
-0.720000,9308.851197
-0.710000,9383.038696
-0.700000,9412.362059
-0.690000,9436.270567
-0.680000,9466.266342
-0.670000,9500.729924
-0.660000,9603.275363
-0.650000,9691.130667
-0.640000,9791.177775
-0.630000,9889.660174
-0.620000,9959.493889
-0.610000,10003.318104
-0.600000,10015.610252
-0.590000,10073.697950
-0.580000,10246.545770
-0.570000,10368.682791
-0.560000,10422.163315
-0.550000,10467.742969
-0.540000,10609.740921
-0.530000,10762.548437
-0.520000,10831.098792
-0.510000,10927.896935
-0.500000,10955.765546
-0.490000,10991.912870
-0.480000,11048.546360
-0.470000,11115.030266
-0.460000,11231.077402
-0.450000,11361.916837
-0.440000,11480.527266
-0.430000,11574.422900
-0.420000,11590.802183
-0.410000,11619.066755
-0.400000,11775.370975
-0.390000,11884.899084
-0.380000,11961.033227
-0.370000,12041.549682
-0.360000,12157.222932
-0.350000,12348.472330
-0.340000,12444.545411
-0.330000,12504.886489
-0.320000,12567.598707
-0.310000,12666.176777
-0.300000,12823.541865
-0.290000,12919.517774
-0.280000,13110.617566
-0.270000,13243.377788
-0.260000,13284.476078
-0.250000,13469.993013
-0.240000,13573.785862
-0.230000,13604.380475
-0.220000,13673.331935
-0.210000,13822.726632
-0.200000,14093.384432
-0.190000,14198.203394
-0.180000,14245.319244
-0.170000,14368.754679
-0.160000,14542.917295
-0.150000,14616.443006
-0.140000,14731.289942
-0.130000,14860.777584
-0.120000,15138.109516
-0.110000,15307.841373
-0.100000,15358.657193
-0.090000,15447.476057
-0.080000,15690.503149
-0.070000,15794.237496
-0.060000,15911.807543
-0.050000,16057.586035
-0.040000,16335.088248
-0.030000,16522.672484
-0.020000,16603.096784
-0.010000,16772.247777
0.000000,17019.869472
0.010000,17080.774980
0.020000,17281.501332
0.030000,17493.552770
0.040000,17640.819162
0.050000,17843.877945
0.060000,17974.825881
0.070000,18307.789442
0.080000,18418.778492
0.090000,18564.023637
0.100000,18753.062519
0.110000,19033.573627
0.120000,19213.700998
0.130000,19369.174667
0.140000,19644.157240
0.150000,19835.606292
0.160000,20066.706817
0.170000,20231.606469
0.180000,20538.687530
0.190000,20746.041725
0.200000,20971.553875
0.210000,21230.984024
0.220000,21531.863918
0.230000,21702.995664
0.240000,22055.123434
0.250000,22322.537768
0.260000,22612.095477
0.270000,22878.542720
0.280000,23150.694347
0.290000,23438.118838
0.300000,23721.208243
0.310000,23968.098078
0.320000,24280.605567
0.330000,24545.926077
0.340000,24757.642877
0.350000,25072.169114
0.360000,25521.493616
0.370000,25919.222628
0.380000,26275.441306
0.390000,26669.137396
0.400000,27074.700451
0.410000,27432.571676
0.420000,27762.120422
0.430000,28067.092443
0.440000,28345.080918
0.450000,28694.140927
0.460000,29279.041706
0.470000,29815.852351
0.480000,30233.626130
0.490000,30705.943496
0.500000,31048.537031
0.510000,31343.532702
0.520000,31756.507715
0.530000,32485.043342
0.540000,33091.359354
0.550000,33546.804885
0.560000,33933.875750
0.570000,34211.955322
0.580000,35028.358494
0.590000,35796.038508
0.600000,36308.324095
0.610000,36662.406914
0.620000,37321.888850
0.630000,38287.975239
0.640000,38818.909830
0.650000,39172.546850
0.660000,40165.239654
0.670000,40974.967466
0.680000,41346.581912
0.690000,42263.372493
0.700000,43137.391637
0.710000,43446.052967
0.720000,44729.710329
0.730000,45373.260520
0.740000,46397.888340
0.750000,47236.125836
0.760000,48278.359983
0.770000,49095.671704
0.780000,50222.804562
0.790000,51115.371007
0.800000,52098.271592
0.810000,53250.327597
0.820000,54334.399521
0.830000,55616.465905
0.840000,56913.175130
0.850000,58060.087439
0.860000,59282.579834
0.870000,60627.865727
0.880000,62165.438322
0.890000,63662.050470
0.900000,64944.070375
0.910000,66524.693688
0.920000,68371.239991
0.930000,70004.748152
0.940000,71733.666122
0.950000,73621.978854
0.960000,75471.976049
0.970000,77347.532819
0.980000,79452.266510
0.990000,81439.198491
1.000000,83657.034577
