energy,flux
0.000000,0.000000
0.200000,4220.273000
0.400000,14313.764000
0.600000,29893.553000
0.800000,50097.036000
1.000000,74081.524000
1.200000,101331.503000
1.400000,131247.247000
1.600000,163281.947000
1.800000,196935.452000
2.000000,231770.770000
2.200000,267406.671000
2.400000,303456.235000
2.600000,339587.166000
2.800000,375479.117000
3.000000,410852.709000
3.200000,445424.011000
3.400000,478944.370000
3.600000,511196.997000
3.800000,541980.466000
4.000000,571126.922000
4.200000,598472.493000
4.400000,623880.619000
4.600000,647220.999000
4.800000,668396.334000
5.000000,687309.894000
5.200000,703892.830000
5.400000,718083.121000
5.600000,729827.281000
5.800000,739092.877000
6.000000,745870.805000
6.200000,750162.772000
6.400000,751977.882000
6.600000,751338.326000
6.800000,748283.365000
7.000000,742859.088000
7.200000,735124.671000
7.400000,725152.946000
7.600000,713015.607000
7.800000,698803.125000
8.000000,682620.196000
8.200000,663112.700477
8.400000,642805.476988
8.600000,621061.665084
8.800000,597935.841683
9.000000,573533.234699
9.200000,547983.197459
9.400000,521424.203350
9.600000,494009.290271
9.800000,465893.926069
10.000000,437246.052810
10.200000,408234.372260
10.400000,379025.284584
10.600000,349794.612978
10.800000,320720.715956
11.000000,291983.289185
11.200000,263758.233075
11.400000,236224.966133
11.600000,209554.535439
11.800000,183921.463871
12.000000,159489.614528
12.200000,136421.219818
12.400000,114868.402831
12.600000,94971.480087
12.800000,76858.394940
13.000000,60632.296852
13.200000,46415.573738
13.400000,34279.849717
13.600000,24247.690715
13.800000,16319.139547
14.000000,10402.303945
14.200000,6281.211446
14.400000,3611.885114
14.600000,1995.153468
14.800000,1062.977105
15.000000,543.311888
15.200000,262.899424
15.400000,117.904841
15.600000,47.949788
15.800000,16.922799
