costheta,flux
-1.000000,0.199685
-0.990000,0.199240
-0.980000,0.198578
-0.970000,0.199754
-0.960000,0.201422
-0.950000,0.202312
-0.940000,0.202526
-0.930000,0.202502
-0.920000,0.203077
-0.910000,0.203616
-0.900000,0.204465
-0.890000,0.205072
-0.880000,0.205881
-0.870000,0.206194
-0.860000,0.205847
-0.850000,0.206085
-0.840000,0.205992
-0.830000,0.206246
-0.820000,0.207170
-0.810000,0.207339
-0.800000,0.208281
-0.790000,0.208425
-0.780000,0.208403
-0.770000,0.208669
-0.760000,0.208316
-0.750000,0.208038
-0.740000,0.208416
-0.730000,0.209636
-0.720000,0.209308
-0.710000,0.209359
-0.700000,0.209104
-0.690000,0.209326
-0.680000,0.208893
-0.670000,0.208331
-0.660000,0.209720
-0.650000,0.210104
-0.640000,0.209553
-0.630000,0.208603
-0.620000,0.207621
-0.610000,0.206508
-0.600000,0.207389
-0.590000,0.207120
-0.580000,0.207611
-0.570000,0.207127
-0.560000,0.206531
-0.550000,0.205837
-0.540000,0.205349
-0.530000,0.203998
-0.520000,0.203528
-0.510000,0.202557
-0.500000,0.201560
-0.490000,0.200422
-0.480000,0.199787
-0.470000,0.199055
-0.460000,0.197625
-0.450000,0.196457
-0.440000,0.196181
-0.430000,0.194810
-0.420000,0.193300
-0.410000,0.191244
-0.400000,0.189172
-0.390000,0.187780
-0.380000,0.186068
-0.370000,0.184226
-0.360000,0.182982
-0.350000,0.180877
-0.340000,0.178275
-0.330000,0.175538
-0.320000,0.172995
-0.310000,0.170272
-0.300000,0.167833
-0.290000,0.165150
-0.280000,0.162056
-0.270000,0.158446
-0.260000,0.155249
-0.250000,0.152338
-0.240000,0.148771
-0.230000,0.144657
-0.220000,0.141012
-0.210000,0.137145
-0.200000,0.133304
-0.190000,0.128858
-0.180000,0.124065
-0.170000,0.119468
-0.160000,0.114190
-0.150000,0.108719
-0.140000,0.103116
-0.130000,0.097291
-0.120000,0.091421
-0.110000,0.085216
-0.100000,0.078868
-0.090000,0.072146
-0.080000,0.065100
-0.070000,0.057836
-0.060000,0.050306
-0.050000,0.042411
-0.040000,0.034276
-0.030000,0.025925
-0.020000,0.017384
-0.010000,0.008722
0.000000,0.000000
0.010000,0.008723
0.020000,0.017385
0.030000,0.025926
0.040000,0.034277
0.050000,0.042412
0.060000,0.050307
0.070000,0.057837
0.080000,0.065100
0.090000,0.072147
0.100000,1.999272
0.110000,0.315953
0.120000,0.266032
0.130000,0.248396
0.140000,0.241795
0.150000,0.239139
0.160000,0.238936
0.170000,0.240432
0.180000,0.651626
0.190000,0.523812
0.200000,0.479676
0.210000,0.456104
0.220000,0.442993
0.230000,0.911575
0.240000,0.757884
0.250000,0.697942
0.260000,0.665367
0.270000,1.192165
0.280000,1.005008
0.290000,0.929623
0.300000,1.775160
0.310000,1.318763
0.320000,1.197479
0.330000,2.182351
0.340000,1.606203
0.350000,1.459973
0.360000,2.260257
0.370000,1.864772
0.380000,9.217857
0.390000,2.087424
0.400000,1.911818
0.410000,2.767446
0.420000,2.372595
0.430000,3.414998
0.440000,2.811779
0.450000,3.987699
0.460000,3.237308
0.470000,4.408696
0.480000,3.657991
0.490000,4.734330
0.500000,4.082510
0.510000,5.060649
0.520000,7.428806
0.530000,5.289218
0.540000,6.604210
0.550000,5.683486
0.560000,6.750503
0.570000,8.185480
0.580000,12.584918
0.590000,7.862096
0.600000,9.304843
0.610000,11.176811
0.620000,16.185696
0.630000,10.237458
0.640000,11.782245
0.650000,13.443610
0.660000,15.304126
0.670000,17.398143
0.680000,19.840844
0.690000,22.615496
0.700000,25.532707
0.710000,27.732586
0.720000,28.798827
0.730000,29.491253
0.740000,30.282955
0.750000,31.451856
0.760000,32.920414
0.770000,34.715066
0.780000,36.757525
0.790000,52.010479
0.800000,50.151059
0.810000,51.442171
0.820000,69.191972
0.830000,66.809878
0.840000,88.636730
0.850000,83.806363
0.860000,105.544044
0.870000,134.981474
0.880000,221.386289
0.890000,136.122141
0.900000,168.192418
0.910000,290.545627
0.920000,281.170433
0.930000,311.426336
0.940000,441.107038
0.950000,592.758363
0.960000,749.240765
0.970000,1182.604815
0.980000,1674.793634
0.990000,3428.360699
1.000000,18212.376861
