cosphi,flux
-1.000000,58.272652
-0.990000,58.402975
-0.980000,58.646360
-0.970000,58.710610
-0.960000,59.085340
-0.950000,59.186105
-0.940000,59.255685
-0.930000,60.414854
-0.920000,60.871778
-0.910000,61.073099
-0.900000,61.837132
-0.890000,62.383811
-0.880000,62.756018
-0.870000,62.995196
-0.860000,63.110189
-0.850000,63.135563
-0.840000,63.575733
-0.830000,63.842390
-0.820000,64.335409
-0.810000,64.848879
-0.800000,65.176018
-0.790000,65.309603
-0.780000,65.489300
-0.770000,66.129604
-0.760000,67.126358
-0.750000,67.782480
-0.740000,68.466539
-0.730000,68.784789
-0.720000,68.919814
-0.710000,69.519843
-0.700000,70.086550
-0.690000,71.410819
-0.680000,72.339912
-0.670000,72.779592
-0.660000,73.274999
-0.650000,73.617417
-0.640000,73.756632
-0.630000,74.102834
-0.620000,75.612936
-0.610000,76.357347
-0.600000,77.281884
-0.590000,77.766307
-0.580000,78.015253
-0.570000,78.433230
-0.560000,78.904823
-0.550000,79.450845
-0.540000,79.812451
-0.530000,80.345728
-0.520000,81.003304
-0.510000,81.624229
-0.500000,81.777148
-0.490000,81.895306
-0.480000,83.680114
-0.470000,84.650303
-0.460000,85.321825
-0.450000,86.084317
-0.440000,86.656302
-0.430000,86.878224
-0.420000,87.827695
-0.410000,88.303024
-0.400000,88.418882
-0.390000,88.972283
-0.380000,90.727922
-0.370000,92.082923
-0.360000,92.604579
-0.350000,93.654972
-0.340000,94.335736
-0.330000,94.990657
-0.320000,96.426637
-0.310000,97.159014
-0.300000,98.406427
-0.290000,98.893322
-0.280000,99.494918
-0.270000,100.094454
-0.260000,101.242504
-0.250000,101.870275
-0.240000,104.083126
-0.230000,104.980059
-0.220000,105.757187
-0.210000,106.572631
-0.200000,107.128068
-0.190000,107.300179
-0.180000,109.047842
-0.170000,110.488134
-0.160000,110.974584
-0.150000,111.502476
-0.140000,113.236877
-0.130000,115.170350
-0.120000,116.437112
-0.110000,117.364697
-0.100000,118.235815
-0.090000,119.156251
-0.080000,119.890458
-0.070000,121.800176
-0.060000,122.921811
-0.050000,124.048707
-0.040000,125.348877
-0.030000,126.278463
-0.020000,128.639308
-0.010000,130.717609
0.000000,131.561280
0.010000,132.122340
0.020000,134.141680
0.030000,135.917442
0.040000,137.507773
0.050000,139.091672
0.060000,139.873577
0.070000,141.311466
0.080000,143.974091
0.090000,145.717869
0.100000,146.819171
0.110000,148.813430
0.120000,149.960409
0.130000,151.654847
0.140000,154.606533
0.150000,155.893117
0.160000,157.782426
0.170000,159.695753
0.180000,161.444151
0.190000,163.322289
0.200000,165.520385
0.210000,166.753935
0.220000,169.695839
0.230000,171.426383
0.240000,172.997537
0.250000,176.475041
0.260000,178.619333
0.270000,181.518567
0.280000,183.950533
0.290000,186.559470
0.300000,189.348715
0.310000,192.278803
0.320000,194.901822
0.330000,197.808288
0.340000,200.462609
0.350000,203.162185
0.360000,206.222292
0.370000,209.025830
0.380000,211.085537
0.390000,214.408431
0.400000,217.331406
0.410000,219.074528
0.420000,223.325077
0.430000,228.611494
0.440000,232.965859
0.450000,236.611584
0.460000,240.533798
0.470000,244.188470
0.480000,248.268053
0.490000,251.937813
0.500000,255.452364
0.510000,258.737157
0.520000,263.600538
0.530000,269.700211
0.540000,275.848791
0.550000,281.087207
0.560000,285.151872
0.570000,290.253194
0.580000,293.770784
0.590000,299.048478
0.600000,307.285025
0.610000,314.498586
0.620000,320.270792
0.630000,324.565840
0.640000,328.923699
0.650000,338.684002
0.660000,347.133613
0.670000,353.689067
0.680000,358.671558
0.690000,367.605906
0.700000,379.118659
0.710000,386.279986
0.720000,391.449050
0.730000,405.302398
0.740000,415.233699
0.750000,421.177287
0.760000,435.561125
0.770000,444.796571
0.780000,457.797602
0.790000,467.900859
0.800000,481.493895
0.810000,492.029452
0.820000,509.449268
0.830000,522.147301
0.840000,537.304881
0.850000,554.033281
0.860000,571.502923
0.870000,589.099804
0.880000,606.924928
0.890000,627.041652
0.900000,648.822749
0.910000,671.772426
0.920000,694.847461
0.930000,718.784790
0.940000,747.799440
0.950000,775.330706
0.960000,803.668877
0.970000,838.585246
0.980000,871.213380
0.990000,907.354293
1.000000,946.434537
