costheta,flux
-1.000000,263.900141
-0.990000,261.271958
-0.980000,258.644211
-0.970000,256.015791
-0.960000,253.387244
-0.950000,250.758382
-0.940000,248.129136
-0.930000,245.499669
-0.920000,242.869729
-0.910000,240.239438
-0.900000,237.608923
-0.890000,234.978187
-0.880000,232.347172
-0.870000,229.715435
-0.860000,227.083715
-0.850000,224.451581
-0.840000,221.819296
-0.830000,219.186570
-0.820000,216.553753
-0.810000,213.920420
-0.800000,211.286751
-0.790000,208.652895
-0.780000,206.019035
-0.770000,203.384598
-0.760000,200.750266
-0.750000,198.115036
-0.740000,195.479956
-0.730000,192.844780
-0.720000,190.209111
-0.710000,187.711699
-0.700000,185.277464
-0.690000,182.753937
-0.680000,180.201387
-0.670000,177.640020
-0.660000,175.106586
-0.650000,172.538228
-0.640000,169.956371
-0.630000,167.365671
-0.620000,164.768132
-0.610000,162.164273
-0.600000,159.555649
-0.590000,156.942268
-0.580000,154.324923
-0.570000,151.704222
-0.560000,149.080051
-0.550000,146.453063
-0.540000,143.823089
-0.530000,141.190686
-0.520000,138.555867
-0.510000,135.918857
-0.500000,133.279706
-0.490000,130.638541
-0.480000,127.995328
-0.470000,125.350414
-0.460000,122.703956
-0.450000,120.055843
-0.440000,117.406043
-0.430000,114.754982
-0.420000,112.102673
-0.410000,109.448755
-0.400000,106.793877
-0.390000,104.137479
-0.380000,101.479836
-0.370000,98.821389
-0.360000,96.161829
-0.350000,93.501172
-0.340000,90.839748
-0.330000,88.177126
-0.320000,85.513727
-0.310000,82.849372
-0.300000,80.184303
-0.290000,77.518362
-0.280000,74.851547
-0.270000,72.184317
-0.260000,69.516386
-0.250000,66.847690
-0.240000,64.178432
-0.230000,61.508479
-0.220000,58.838091
-0.210000,56.167176
-0.200000,53.495680
-0.190000,50.823679
-0.180000,48.151559
-0.170000,45.478731
-0.160000,42.805390
-0.150000,40.131791
-0.140000,37.457997
-0.130000,34.783601
-0.120000,32.109252
-0.110000,29.434531
-0.100000,26.759276
-0.090000,24.084068
-0.080000,21.408471
-0.070000,18.732753
-0.060000,16.056885
-0.050000,13.380901
-0.040000,10.704843
-0.030000,8.028761
-0.020000,5.352466
-0.010000,2.676280
0.000000,0.000119
0.010000,2.676579
0.020000,5.352684
0.030000,8.028846
0.040000,10.705167
0.050000,13.381346
0.060000,16.057205
0.070000,18.733072
0.080000,21.408708
0.090000,24.084126
0.100000,27.024198
0.110000,29.465743
0.120000,32.133159
0.130000,34.804553
0.140000,37.477346
0.150000,40.150139
0.160000,42.822884
0.170000,45.495720
0.180000,48.218874
0.190000,50.874949
0.200000,53.541310
0.210000,56.209535
0.220000,58.878388
0.230000,61.604079
0.240000,64.255383
0.250000,66.917715
0.260000,69.582139
0.270000,72.309721
0.280000,74.956218
0.290000,77.614175
0.300000,80.372659
0.310000,82.988190
0.320000,85.639260
0.330000,88.406704
0.340000,91.009248
0.350000,93.655387
0.360000,96.396411
0.370000,99.017505
0.380000,102.540593
0.390000,104.364657
0.400000,107.001689
0.410000,109.735827
0.420000,112.353904
0.430000,115.099663
0.440000,117.699196
0.450000,120.450238
0.460000,123.036644
0.470000,125.780274
0.480000,128.366196
0.490000,131.095559
0.500000,133.688254
0.510000,136.404295
0.520000,139.221369
0.530000,141.701419
0.540000,144.428688
0.550000,146.999279
0.560000,149.701790
0.570000,152.423876
0.580000,155.340923
0.590000,157.659926
0.600000,160.364633
0.610000,163.087082
0.620000,165.993618
0.630000,168.264037
0.640000,170.944439
0.650000,173.620748
0.660000,176.293526
0.670000,178.937351
0.680000,181.624629
0.690000,184.318942
0.700000,186.984624
0.710000,189.529538
0.720000,192.090100
0.730000,194.774891
0.740000,197.472190
0.750000,200.186348
0.760000,202.915860
0.770000,205.661009
0.780000,208.418877
0.790000,211.538221
0.800000,214.210250
0.810000,216.980030
0.820000,220.135179
0.830000,222.864246
0.840000,226.090147
0.850000,228.834387
0.860000,232.073515
0.870000,235.457344
0.880000,240.387198
0.890000,241.567283
0.900000,245.116243
0.910000,249.881461
0.920000,253.146886
0.930000,257.202052
0.940000,262.387949
0.950000,268.255314
0.960000,275.073074
0.970000,285.076552
0.980000,299.212710
0.990000,329.110482
1.000000,564.969431
