cosphi,flux
-1.000000,10721.107032
-0.990000,10766.845523
-0.980000,10776.414507
-0.970000,10914.914761
-0.960000,10965.241261
-0.950000,11029.133195
-0.940000,11307.721192
-0.930000,11379.760515
-0.920000,11408.983232
-0.910000,11417.101080
-0.900000,11479.567084
-0.890000,11503.482188
-0.880000,11537.844696
-0.870000,11537.436965
-0.860000,11531.898973
-0.850000,11521.010634
-0.840000,11595.895523
-0.830000,11603.520202
-0.820000,11599.688180
-0.810000,11644.131975
-0.800000,11738.674159
-0.790000,11887.623896
-0.780000,11923.302282
-0.770000,12019.134242
-0.760000,12171.671223
-0.750000,12224.259871
-0.740000,12321.961084
-0.730000,12369.161384
-0.720000,12378.200315
-0.710000,12376.430879
-0.700000,12423.805639
-0.690000,12533.790404
-0.680000,12577.466573
-0.670000,12584.891249
-0.660000,12656.546143
-0.650000,12663.819416
-0.640000,12766.973601
-0.630000,12779.258958
-0.620000,12776.525026
-0.610000,12867.403852
-0.600000,13091.939564
-0.590000,13302.637727
-0.580000,13363.641338
-0.570000,13380.272887
-0.560000,13380.285725
-0.550000,13450.766556
-0.540000,13476.185402
-0.530000,13543.542804
-0.520000,13556.461947
-0.510000,13549.004062
-0.500000,13649.621101
-0.490000,13659.745845
-0.480000,13664.243495
-0.470000,13794.553945
-0.460000,14012.780344
-0.450000,14052.704145
-0.440000,14123.613056
-0.430000,14254.656236
-0.420000,14444.514052
-0.410000,14563.922371
-0.400000,14599.865084
-0.390000,14607.522717
-0.380000,14602.727839
-0.370000,14713.639534
-0.360000,14730.674639
-0.350000,14847.341423
-0.340000,14854.234557
-0.330000,14959.633422
-0.320000,14991.796794
-0.310000,15004.432435
-0.300000,15145.432929
-0.290000,15313.344836
-0.280000,15343.760795
-0.270000,15342.834336
-0.260000,15475.718653
-0.250000,15754.651125
-0.240000,15891.884199
-0.230000,15924.121639
-0.220000,15932.465956
-0.210000,16030.703646
-0.200000,16126.649520
-0.190000,16271.387184
-0.180000,16284.669619
-0.170000,16294.607755
-0.160000,16417.369045
-0.150000,16497.081694
-0.140000,16700.268358
-0.130000,16725.050351
-0.120000,16743.713758
-0.110000,16864.505396
-0.100000,16953.184677
-0.090000,17209.006213
-0.080000,17257.033203
-0.070000,17291.158553
-0.060000,17304.071908
-0.050000,17470.273125
-0.040000,17728.100489
-0.030000,17843.420159
-0.020000,17910.029042
-0.010000,17947.176512
0.000000,18049.669986
0.010000,18168.109277
0.020000,18261.417298
0.030000,18442.489256
0.040000,18541.942025
0.050000,18644.740736
0.060000,18745.288936
0.070000,18783.294809
0.080000,18961.579227
0.090000,19107.572671
0.100000,19121.147037
0.110000,19312.241659
0.120000,19390.645995
0.130000,19413.254889
0.140000,19690.579765
0.150000,19753.503914
0.160000,19955.277706
0.170000,20084.999622
0.180000,20202.601533
0.190000,20396.374246
0.200000,20513.068056
0.210000,20659.738111
0.220000,20800.845237
0.230000,20867.829860
0.240000,21005.212751
0.250000,21070.617398
0.260000,21126.205465
0.270000,21195.712542
0.280000,21362.105556
0.290000,21676.860302
0.300000,21888.397177
0.310000,22140.075352
0.320000,22304.599252
0.330000,22407.647816
0.340000,22470.556444
0.350000,22503.377945
0.360000,22513.867854
0.370000,22769.852792
0.380000,23167.021863
0.390000,23342.007991
0.400000,23535.403680
0.410000,23599.750723
0.420000,23612.051495
0.430000,23602.295524
0.440000,24045.004216
0.450000,24298.980100
0.460000,24345.522049
0.470000,24542.344199
0.480000,24620.886765
0.490000,24956.995826
0.500000,25167.151761
0.510000,25367.855141
0.520000,25536.843374
0.530000,25705.934248
0.540000,25875.932418
0.550000,26141.953220
0.560000,26274.650799
0.570000,26449.862842
0.580000,26549.230778
0.590000,26793.629509
0.600000,26958.435974
0.610000,27183.355917
0.620000,27420.856043
0.630000,27812.826581
0.640000,27958.975323
0.650000,28276.293602
0.660000,28429.821140
0.670000,28573.401785
0.680000,28763.277629
0.690000,28847.464794
0.700000,29184.580086
0.710000,29559.731736
0.720000,29858.947730
0.730000,30034.416728
0.740000,30239.856737
0.750000,30388.077245
0.760000,30468.661125
0.770000,31019.897513
0.780000,31367.099268
0.790000,31566.947969
0.800000,31836.737412
0.810000,31966.272163
0.820000,32380.692829
0.830000,32666.800159
0.840000,32934.663568
0.850000,33042.366982
0.860000,33453.059913
0.870000,33728.333420
0.880000,33938.755545
0.890000,34312.785262
0.900000,34693.298242
0.910000,34965.582165
0.920000,35373.106793
0.930000,35610.998496
0.940000,35908.909937
0.950000,36129.921925
0.960000,36557.152200
0.970000,36980.628904
0.980000,37347.358988
0.990000,37626.860506
1.000000,37849.133112
