costheta,flux
-1.000000,0.489620
-0.990000,0.487051
-0.980000,0.484376
-0.970000,0.482300
-0.960000,0.481583
-0.950000,0.480471
-0.940000,0.478790
-0.930000,0.476746
-0.920000,0.475335
-0.910000,0.474159
-0.900000,0.473497
-0.890000,0.473061
-0.880000,0.472101
-0.870000,0.470854
-0.860000,0.470295
-0.850000,0.468611
-0.840000,0.466647
-0.830000,0.464440
-0.820000,0.463085
-0.810000,0.462149
-0.800000,0.460683
-0.790000,0.459144
-0.780000,0.456707
-0.770000,0.453859
-0.760000,0.451350
-0.750000,0.448825
-0.740000,0.445959
-0.730000,0.444449
-0.720000,0.443055
-0.710000,0.440689
-0.700000,0.438058
-0.690000,0.435281
-0.680000,0.433095
-0.670000,0.430186
-0.660000,0.426846
-0.650000,0.424835
-0.640000,0.421700
-0.630000,0.418124
-0.620000,0.414409
-0.610000,0.412223
-0.600000,0.409569
-0.590000,0.407463
-0.580000,0.404294
-0.570000,0.401450
-0.560000,0.398451
-0.550000,0.394296
-0.540000,0.389935
-0.530000,0.385639
-0.520000,0.381382
-0.510000,0.376807
-0.500000,0.372574
-0.490000,0.367763
-0.480000,0.363823
-0.470000,0.359415
-0.460000,0.355230
-0.450000,0.350862
-0.440000,0.345882
-0.430000,0.340679
-0.420000,0.335670
-0.410000,0.330099
-0.400000,0.325098
-0.390000,0.319767
-0.380000,0.314179
-0.370000,0.308133
-0.360000,0.302843
-0.350000,0.297033
-0.340000,0.290963
-0.330000,0.286433
-0.320000,0.280400
-0.310000,0.273981
-0.300000,0.267173
-0.290000,0.260718
-0.280000,0.253836
-0.270000,0.246520
-0.260000,0.239248
-0.250000,0.231764
-0.240000,0.223913
-0.230000,0.215923
-0.220000,0.207707
-0.210000,0.199326
-0.200000,0.191595
-0.190000,0.183239
-0.180000,0.174565
-0.170000,0.165967
-0.160000,0.157110
-0.150000,0.148007
-0.140000,0.138824
-0.130000,0.129591
-0.120000,0.120113
-0.110000,0.110499
-0.100000,0.100776
-0.090000,0.090968
-0.080000,0.081074
-0.070000,0.071104
-0.060000,0.061066
-0.050000,0.050973
-0.040000,0.040834
-0.030000,0.030658
-0.020000,0.020454
-0.010000,0.010231
0.000000,0.000001
0.010000,0.010232
0.020000,0.020455
0.030000,0.030659
0.040000,0.040835
0.050000,0.050974
0.060000,0.061067
0.070000,0.071105
0.080000,0.081075
0.090000,0.090969
0.100000,1.382481
0.110000,0.264121
0.120000,0.236270
0.130000,0.230127
0.140000,0.231236
0.150000,0.234474
0.160000,0.239767
0.170000,0.245904
0.180000,0.521099
0.190000,0.442814
0.200000,0.419221
0.210000,0.408313
0.220000,0.405170
0.230000,0.708955
0.240000,0.616354
0.250000,0.582182
0.260000,0.566424
0.270000,0.895152
0.280000,0.784526
0.290000,0.741199
0.300000,1.243881
0.310000,0.978496
0.320000,0.908342
0.330000,1.472841
0.340000,1.145184
0.350000,1.062312
0.360000,1.507742
0.370000,1.288940
0.380000,5.033857
0.390000,1.397542
0.400000,1.305447
0.410000,1.749660
0.420000,1.545038
0.430000,2.064001
0.440000,1.760504
0.450000,2.324808
0.460000,1.958122
0.470000,2.499308
0.480000,2.143149
0.490000,2.622131
0.500000,2.321007
0.510000,2.740484
0.520000,3.711351
0.530000,2.804174
0.540000,3.325612
0.550000,2.938733
0.560000,3.344786
0.570000,3.868989
0.580000,5.415044
0.590000,3.686972
0.600000,4.173318
0.610000,4.776116
0.620000,6.343435
0.630000,4.383629
0.640000,4.849036
0.650000,5.319732
0.660000,5.823704
0.670000,6.357930
0.680000,6.950636
0.690000,7.590880
0.700000,8.217362
0.710000,8.630289
0.720000,8.754142
0.730000,8.791389
0.740000,8.855069
0.750000,8.996836
0.760000,9.192685
0.770000,9.445137
0.780000,9.730535
0.790000,12.317774
0.800000,11.821518
0.810000,11.880944
0.820000,14.437453
0.830000,13.862783
0.840000,16.626829
0.850000,15.723067
0.860000,18.119705
0.870000,21.055365
0.880000,28.852551
0.890000,20.334830
0.900000,22.954144
0.910000,32.265522
0.920000,30.721770
0.930000,32.056557
0.940000,39.180537
0.950000,46.058670
0.960000,51.835533
0.970000,67.036522
0.980000,80.294316
0.990000,121.113587
1.000000,325.767086
