energy,flux
0.000000,0.000000
0.200000,0.000000
0.400000,0.000000
0.600000,0.000000
0.800000,0.000000
1.000000,0.000000
1.200000,0.000645
1.400000,0.002645
1.600000,0.006949
1.800000,0.014344
2.000000,0.024052
2.200000,0.035171
2.400000,0.047395
2.600000,0.060379
2.800000,0.073798
3.000000,0.083421
3.200000,0.091012
3.400000,0.094122
3.600000,0.095176
3.800000,0.093876
4.000000,0.090177
4.200000,0.086105
4.400000,0.082129
4.600000,0.078174
4.800000,0.073970
5.000000,0.069650
5.200000,0.065482
5.400000,0.061451
5.600000,0.057592
5.800000,0.053940
6.000000,0.050503
6.200000,0.047085
6.400000,0.043669
6.600000,0.040348
6.800000,0.037214
7.000000,0.034248
7.200000,0.031369
7.400000,0.028658
7.600000,0.026147
7.800000,0.023744
8.000000,0.021502
8.200000,0.019469
8.400000,0.017587
8.600000,0.015771
8.800000,0.014036
9.000000,0.012394
9.200000,0.010984
9.400000,0.009689
9.600000,0.008450
9.800000,0.007298
10.000000,0.006231
10.200000,0.005350
10.400000,0.004586
10.600000,0.003892
10.800000,0.003265
11.000000,0.002703
11.200000,0.002203
11.400000,0.001764
11.600000,0.001380
11.800000,0.001081
12.000000,0.000848
12.200000,0.000652
12.400000,0.000491
12.600000,0.000360
12.800000,0.000257
13.000000,0.000177
13.200000,0.000117
13.400000,0.000074
13.600000,0.000045
13.800000,0.000026
14.000000,0.000013
14.200000,0.000007
14.400000,0.000004
14.600000,0.000002
14.800000,0.000001
15.000000,0.000000
15.200000,0.000000
15.400000,0.000000
15.600000,0.000000
15.800000,0.000000
