cosphi,flux
-1.000000,15241.901431
-0.990000,15489.034309
-0.980000,15654.370421
-0.970000,15701.406683
-0.960000,15764.685905
-0.950000,15922.289363
-0.940000,15966.338078
-0.930000,15972.464469
-0.920000,16029.490215
-0.910000,16077.005202
-0.900000,16264.690240
-0.890000,16362.233181
-0.880000,16529.046855
-0.870000,16683.882448
-0.860000,16813.944246
-0.850000,17058.781315
-0.840000,17130.054230
-0.830000,17257.598202
-0.820000,17295.244459
-0.810000,17409.685253
-0.800000,17605.895231
-0.790000,17846.554078
-0.780000,17922.880409
-0.770000,17947.105840
-0.760000,17984.835585
-0.750000,18168.815671
-0.740000,18376.940687
-0.730000,18549.081405
-0.720000,18617.702394
-0.710000,18766.077392
-0.700000,18824.724119
-0.690000,18872.541134
-0.680000,18932.532684
-0.670000,19001.459848
-0.660000,19206.550726
-0.650000,19382.261334
-0.640000,19582.355550
-0.630000,19779.320348
-0.620000,19918.987778
-0.610000,20006.636207
-0.600000,20031.220504
-0.590000,20147.395901
-0.580000,20493.091540
-0.570000,20737.365582
-0.560000,20844.326629
-0.550000,20935.485939
-0.540000,21219.481842
-0.530000,21525.096874
-0.520000,21662.197585
-0.510000,21855.793870
-0.500000,21911.531092
-0.490000,21983.825741
-0.480000,22097.092720
-0.470000,22230.060532
-0.460000,22462.154803
-0.450000,22723.833675
-0.440000,22961.054532
-0.430000,23148.845799
-0.420000,23181.604366
-0.410000,23238.133510
-0.400000,23550.741950
-0.390000,23769.798167
-0.380000,23922.066454
-0.370000,24083.099364
-0.360000,24314.445864
-0.350000,24696.944660
-0.340000,24889.090822
-0.330000,25009.772978
-0.320000,25135.197414
-0.310000,25332.353555
-0.300000,25647.083730
-0.290000,25839.035548
-0.280000,26221.235132
-0.270000,26486.755576
-0.260000,26568.952155
-0.250000,26939.986025
-0.240000,27147.571724
-0.230000,27208.760950
-0.220000,27346.663870
-0.210000,27645.453263
-0.200000,28186.768864
-0.190000,28396.406788
-0.180000,28490.638488
-0.170000,28737.509358
-0.160000,29085.834591
-0.150000,29232.886011
-0.140000,29462.579884
-0.130000,29721.555167
-0.120000,30276.219032
-0.110000,30615.682747
-0.100000,30717.314386
-0.090000,30894.952114
-0.080000,31381.006297
-0.070000,31588.474993
-0.060000,31823.615087
-0.050000,32115.172070
-0.040000,32670.176496
-0.030000,33045.344968
-0.020000,33206.193568
-0.010000,33544.495554
0.000000,34039.738944
0.010000,34161.549960
0.020000,34563.002664
0.030000,34987.105541
0.040000,35281.638325
0.050000,35687.755890
0.060000,35949.651762
0.070000,36615.578885
0.080000,36837.556983
0.090000,37128.047273
0.100000,37506.125039
0.110000,38067.147254
0.120000,38427.401995
0.130000,38738.349334
0.140000,39288.314480
0.150000,39671.212584
0.160000,40133.413634
0.170000,40463.212939
0.180000,41077.375060
0.190000,41492.083450
0.200000,41943.107751
0.210000,42461.968047
0.220000,43063.727837
0.230000,43405.991328
0.240000,44110.246867
0.250000,44645.075535
0.260000,45224.190954
0.270000,45757.085440
0.280000,46301.388693
0.290000,46876.237675
0.300000,47442.416486
0.310000,47936.196157
0.320000,48561.211134
0.330000,49091.852154
0.340000,49515.285754
0.350000,50144.338229
0.360000,51042.987231
0.370000,51838.445256
0.380000,52550.882612
0.390000,53338.274792
0.400000,54149.400903
0.410000,54865.143353
0.420000,55524.240844
0.430000,56134.184885
0.440000,56690.161836
0.450000,57388.281853
0.460000,58558.083413
0.470000,59631.704703
0.480000,60467.252259
0.490000,61411.886992
0.500000,62097.074062
0.510000,62687.065403
0.520000,63513.015430
0.530000,64970.086684
0.540000,66182.718707
0.550000,67093.609771
0.560000,67867.751501
0.570000,68423.910645
0.580000,70056.716988
0.590000,71592.077016
0.600000,72616.648191
0.610000,73324.813829
0.620000,74643.777700
0.630000,76575.950479
0.640000,77637.819659
0.650000,78345.093700
0.660000,80330.479309
0.670000,81949.934932
0.680000,82693.163824
0.690000,84526.744987
0.700000,86274.783274
0.710000,86892.105933
0.720000,89459.420658
0.730000,90746.521040
0.740000,92795.776681
0.750000,94472.251671
0.760000,96556.719966
0.770000,98191.343408
0.780000,100445.609124
0.790000,102230.742014
0.800000,104196.543184
0.810000,106500.655194
0.820000,108668.799043
0.830000,111232.931810
0.840000,113826.350261
0.850000,116120.174878
0.860000,118565.159669
0.870000,121255.731453
0.880000,124330.876645
0.890000,127324.100940
0.900000,129888.140750
0.910000,133049.387376
0.920000,136742.479982
0.930000,140009.496305
0.940000,143467.332245
0.950000,147243.957708
0.960000,150943.952098
0.970000,154695.065638
0.980000,158904.533020
0.990000,162878.396981
1.000000,167314.069154
