costheta,flux
-1.000000,0.006242
-0.990000,0.006218
-0.980000,0.006186
-0.970000,0.006151
-0.960000,0.006118
-0.950000,0.006103
-0.940000,0.006068
-0.930000,0.006030
-0.920000,0.006013
-0.910000,0.006035
-0.900000,0.006017
-0.890000,0.005986
-0.880000,0.005949
-0.870000,0.005910
-0.860000,0.005869
-0.850000,0.005830
-0.840000,0.005801
-0.830000,0.005767
-0.820000,0.005734
-0.810000,0.005699
-0.800000,0.005656
-0.790000,0.005611
-0.780000,0.005564
-0.770000,0.005517
-0.760000,0.005468
-0.750000,0.005421
-0.740000,0.005380
-0.730000,0.005330
-0.720000,0.005282
-0.710000,0.005231
-0.700000,0.005180
-0.690000,0.005128
-0.680000,0.005084
-0.670000,0.005036
-0.660000,0.004997
-0.650000,0.004966
-0.640000,0.004921
-0.630000,0.004870
-0.620000,0.004815
-0.610000,0.004758
-0.600000,0.004718
-0.590000,0.004674
-0.580000,0.004627
-0.570000,0.004572
-0.560000,0.004515
-0.550000,0.004460
-0.540000,0.004400
-0.530000,0.004337
-0.520000,0.004276
-0.510000,0.004211
-0.500000,0.004145
-0.490000,0.004078
-0.480000,0.004010
-0.470000,0.003941
-0.460000,0.003871
-0.450000,0.003813
-0.440000,0.003749
-0.430000,0.003687
-0.420000,0.003619
-0.410000,0.003548
-0.400000,0.003476
-0.390000,0.003401
-0.380000,0.003326
-0.370000,0.003251
-0.360000,0.003177
-0.350000,0.003102
-0.340000,0.003024
-0.330000,0.002945
-0.320000,0.002864
-0.310000,0.002783
-0.300000,0.002708
-0.290000,0.002627
-0.280000,0.002545
-0.270000,0.002461
-0.260000,0.002377
-0.250000,0.002291
-0.240000,0.002205
-0.230000,0.002119
-0.220000,0.002031
-0.210000,0.001943
-0.200000,0.001855
-0.190000,0.001765
-0.180000,0.001676
-0.170000,0.001585
-0.160000,0.001497
-0.150000,0.001407
-0.140000,0.001317
-0.130000,0.001225
-0.120000,0.001133
-0.110000,0.001040
-0.100000,0.000949
-0.090000,0.000857
-0.080000,0.000763
-0.070000,0.000669
-0.060000,0.000574
-0.050000,0.000479
-0.040000,0.000383
-0.030000,0.000288
-0.020000,0.000192
-0.010000,0.000096
0.000000,0.000000
0.010000,0.000096
0.020000,0.000192
0.030000,0.000288
0.040000,0.000383
0.050000,0.000479
0.060000,0.000574
0.070000,0.000669
0.080000,0.000763
0.090000,0.000857
0.100000,0.011128
0.110000,0.002258
0.120000,0.002051
0.130000,0.002025
0.140000,0.002044
0.150000,0.002092
0.160000,0.002149
0.170000,0.002219
0.180000,0.004447
0.190000,0.003840
0.200000,0.003659
0.210000,0.003606
0.220000,0.003607
0.230000,0.006042
0.240000,0.005325
0.250000,0.005079
0.260000,0.004983
0.270000,0.007602
0.280000,0.006734
0.290000,0.006425
0.300000,0.010417
0.310000,0.008334
0.320000,0.007809
0.330000,0.012272
0.340000,0.009717
0.350000,0.009108
0.360000,0.012598
0.370000,0.010914
0.380000,0.039138
0.390000,0.011725
0.400000,0.011059
0.410000,0.014551
0.420000,0.012957
0.430000,0.016983
0.440000,0.014631
0.450000,0.018987
0.460000,0.016168
0.470000,0.020322
0.480000,0.017598
0.490000,0.021270
0.500000,0.018963
0.510000,0.022129
0.520000,0.029427
0.530000,0.022566
0.540000,0.026501
0.550000,0.023520
0.560000,0.026586
0.570000,0.030479
0.580000,0.041858
0.590000,0.028971
0.600000,0.032556
0.610000,0.036940
0.620000,0.048252
0.630000,0.033761
0.640000,0.037131
0.650000,0.040516
0.660000,0.044003
0.670000,0.047798
0.680000,0.051827
0.690000,0.056195
0.700000,0.060375
0.710000,0.063025
0.720000,0.063716
0.730000,0.063710
0.740000,0.064005
0.750000,0.064610
0.760000,0.065696
0.770000,0.067185
0.780000,0.068904
0.790000,0.086260
0.800000,0.082282
0.810000,0.082326
0.820000,0.098912
0.830000,0.094572
0.840000,0.112101
0.850000,0.105409
0.860000,0.120391
0.870000,0.138262
0.880000,0.183991
0.890000,0.131143
0.900000,0.146480
0.910000,0.202257
0.920000,0.191067
0.930000,0.197076
0.940000,0.237173
0.950000,0.274214
0.960000,0.304077
0.970000,0.384708
0.980000,0.448949
0.990000,0.655906
1.000000,1.617951
