cosphi,flux
-1.000000,30.924931
-0.990000,30.905993
-0.980000,30.871392
-0.970000,31.298661
-0.960000,31.471758
-0.950000,31.510152
-0.940000,31.500659
-0.930000,31.750871
-0.920000,31.983564
-0.910000,32.624031
-0.900000,32.903667
-0.890000,33.209483
-0.880000,33.344351
-0.870000,33.378984
-0.860000,33.411718
-0.850000,33.609235
-0.840000,33.889189
-0.830000,34.264436
-0.820000,34.435344
-0.810000,34.466839
-0.800000,34.504269
-0.790000,34.478908
-0.780000,34.707341
-0.770000,35.174247
-0.760000,35.321319
-0.750000,35.367473
-0.740000,35.764880
-0.730000,35.934311
-0.720000,36.188731
-0.710000,36.563859
-0.700000,36.631668
-0.690000,36.629039
-0.680000,37.122260
-0.670000,37.508701
-0.660000,37.914993
-0.650000,38.370131
-0.640000,38.479344
-0.630000,38.529654
-0.620000,38.542616
-0.610000,38.666252
-0.600000,38.813156
-0.590000,39.118921
-0.580000,39.394841
-0.570000,39.727015
-0.560000,39.865597
-0.550000,40.079168
-0.540000,40.356232
-0.530000,40.446099
-0.520000,40.571137
-0.510000,40.927788
-0.500000,41.743455
-0.490000,42.158330
-0.480000,42.427294
-0.470000,42.632944
-0.460000,42.943815
-0.450000,43.040846
-0.440000,43.188622
-0.430000,43.672936
-0.420000,44.070973
-0.410000,44.389254
-0.400000,44.453408
-0.390000,44.428942
-0.380000,44.893490
-0.370000,45.199303
-0.360000,45.650986
-0.350000,45.950785
-0.340000,46.054357
-0.330000,46.608339
-0.320000,46.764936
-0.310000,46.880214
-0.300000,47.083244
-0.290000,48.175715
-0.280000,48.503536
-0.270000,48.732317
-0.260000,49.021408
-0.250000,49.313229
-0.240000,49.607852
-0.230000,50.243927
-0.220000,50.627483
-0.210000,50.963159
-0.200000,51.016289
-0.190000,51.244930
-0.180000,51.754217
-0.170000,52.378535
-0.160000,52.757992
-0.150000,53.102617
-0.140000,53.390622
-0.130000,53.518674
-0.120000,53.965199
-0.110000,54.738394
-0.100000,55.293470
-0.090000,55.512390
-0.080000,56.005831
-0.070000,56.103803
-0.060000,56.498901
-0.050000,57.342055
-0.040000,57.891156
-0.030000,58.259885
-0.020000,58.877936
-0.010000,59.041044
0.000000,59.484008
0.010000,60.079453
0.020000,60.519171
0.030000,60.869394
0.040000,61.772517
0.050000,61.990649
0.060000,62.483936
0.070000,63.248596
0.080000,63.408338
0.090000,64.339792
0.100000,64.876526
0.110000,65.122767
0.120000,65.748303
0.130000,66.427978
0.140000,66.808087
0.150000,67.310727
0.160000,68.149454
0.170000,68.689463
0.180000,69.440089
0.190000,70.059415
0.200000,70.544541
0.210000,71.419093
0.220000,71.831448
0.230000,72.833322
0.240000,73.180712
0.250000,74.035011
0.260000,74.775923
0.270000,75.108764
0.280000,75.901207
0.290000,76.375740
0.300000,76.928693
0.310000,77.616764
0.320000,78.830250
0.330000,79.738664
0.340000,80.606817
0.350000,81.628854
0.360000,82.411863
0.370000,83.070647
0.380000,83.620537
0.390000,84.064927
0.400000,84.407638
0.410000,86.160600
0.420000,87.438008
0.430000,88.446062
0.440000,89.297226
0.450000,89.909595
0.460000,90.253700
0.470000,90.890629
0.480000,92.823065
0.490000,94.161638
0.500000,94.803499
0.510000,95.472249
0.520000,95.802297
0.530000,98.007264
0.540000,99.418851
0.550000,100.232876
0.560000,100.839507
0.570000,102.243097
0.580000,103.977405
0.590000,104.894158
0.600000,105.230359
0.610000,107.425644
0.620000,108.523971
0.630000,109.324669
0.640000,110.977985
0.650000,112.151469
0.660000,113.164565
0.670000,114.952347
0.680000,116.505719
0.690000,117.961686
0.700000,119.746746
0.710000,120.677923
0.720000,122.506165
0.730000,123.721147
0.740000,125.349926
0.750000,126.776457
0.760000,128.967945
0.770000,130.580669
0.780000,132.512855
0.790000,134.007947
0.800000,135.377364
0.810000,137.133414
0.820000,139.619169
0.830000,141.718193
0.840000,143.636131
0.850000,145.375489
0.860000,147.314036
0.870000,150.029409
0.880000,151.944346
0.890000,153.774910
0.900000,156.434641
0.910000,158.649956
0.920000,160.237531
0.930000,163.370655
0.940000,165.112782
0.950000,168.588355
0.960000,170.852652
0.970000,173.460184
0.980000,176.066082
0.990000,178.980344
1.000000,181.690458
