cosphi,flux
-1.000000,2.800882
-0.990000,2.799153
-0.980000,2.796351
-0.970000,2.827300
-0.960000,2.840168
-0.950000,2.842713
-0.940000,2.841735
-0.930000,2.859322
-0.920000,2.876750
-0.910000,2.939015
-0.900000,2.962305
-0.890000,2.992758
-0.880000,3.007205
-0.870000,3.011669
-0.860000,3.014197
-0.850000,3.026947
-0.840000,3.049093
-0.830000,3.075369
-0.820000,3.087458
-0.810000,3.089376
-0.800000,3.090676
-0.790000,3.088248
-0.780000,3.114061
-0.770000,3.153611
-0.760000,3.167028
-0.750000,3.171319
-0.740000,3.200862
-0.730000,3.214027
-0.720000,3.234904
-0.710000,3.263500
-0.700000,3.268937
-0.690000,3.268896
-0.680000,3.326411
-0.670000,3.357142
-0.660000,3.389825
-0.650000,3.424089
-0.640000,3.432730
-0.630000,3.435911
-0.620000,3.436154
-0.610000,3.443472
-0.600000,3.451278
-0.590000,3.477532
-0.580000,3.496652
-0.570000,3.521688
-0.560000,3.530688
-0.550000,3.543147
-0.540000,3.567332
-0.530000,3.575992
-0.520000,3.584780
-0.510000,3.621549
-0.500000,3.691031
-0.490000,3.728146
-0.480000,3.758717
-0.470000,3.779503
-0.460000,3.801986
-0.450000,3.809131
-0.440000,3.821628
-0.430000,3.859340
-0.420000,3.890023
-0.410000,3.910211
-0.400000,3.913606
-0.390000,3.911337
-0.380000,3.948642
-0.370000,3.970060
-0.360000,4.003736
-0.350000,4.027520
-0.340000,4.033839
-0.330000,4.079135
-0.320000,4.092320
-0.310000,4.100200
-0.300000,4.114082
-0.290000,4.207483
-0.280000,4.235234
-0.270000,4.265310
-0.260000,4.289709
-0.250000,4.309895
-0.240000,4.333687
-0.230000,4.388244
-0.220000,4.417864
-0.210000,4.439712
-0.200000,4.442664
-0.190000,4.457907
-0.180000,4.498183
-0.170000,4.548752
-0.160000,4.582224
-0.150000,4.605749
-0.140000,4.623222
-0.130000,4.632029
-0.120000,4.672641
-0.110000,4.731987
-0.100000,4.781725
-0.090000,4.799464
-0.080000,4.831417
-0.070000,4.836902
-0.060000,4.865672
-0.050000,4.935590
-0.040000,4.991344
-0.030000,5.023572
-0.020000,5.067245
-0.010000,5.078260
0.000000,5.112872
0.010000,5.152121
0.020000,5.191838
0.030000,5.217206
0.040000,5.292245
0.050000,5.309528
0.060000,5.349774
0.070000,5.403390
0.080000,5.413309
0.090000,5.489123
0.100000,5.530067
0.110000,5.546021
0.120000,5.588584
0.130000,5.644868
0.140000,5.669706
0.150000,5.703804
0.160000,5.780747
0.170000,5.820576
0.180000,5.886174
0.190000,5.935470
0.200000,5.969757
0.210000,6.044867
0.220000,6.073645
0.230000,6.151490
0.240000,6.177243
0.250000,6.240754
0.260000,6.292046
0.270000,6.316703
0.280000,6.370444
0.290000,6.399624
0.300000,6.435517
0.310000,6.488642
0.320000,6.597604
0.330000,6.671333
0.340000,6.737142
0.350000,6.824452
0.360000,6.881870
0.370000,6.926810
0.380000,6.962061
0.390000,6.988824
0.400000,7.007983
0.410000,7.155313
0.420000,7.254686
0.430000,7.324371
0.440000,7.393920
0.450000,7.435322
0.460000,7.455655
0.470000,7.499987
0.480000,7.644672
0.490000,7.744080
0.500000,7.784688
0.510000,7.838823
0.520000,7.871259
0.530000,8.032789
0.540000,8.133443
0.550000,8.200004
0.560000,8.256322
0.570000,8.353841
0.580000,8.470809
0.590000,8.542969
0.600000,8.575081
0.610000,8.722470
0.620000,8.796380
0.630000,8.863237
0.640000,8.970664
0.650000,9.049287
0.660000,9.137264
0.670000,9.259282
0.680000,9.383928
0.690000,9.493500
0.700000,9.626751
0.710000,9.689777
0.720000,9.818576
0.730000,9.898016
0.740000,10.008047
0.750000,10.110098
0.760000,10.284259
0.770000,10.400744
0.780000,10.534148
0.790000,10.631357
0.800000,10.720855
0.810000,10.834184
0.820000,11.024740
0.830000,11.170648
0.840000,11.311630
0.850000,11.435395
0.860000,11.574456
0.870000,11.772885
0.880000,11.898525
0.890000,12.024897
0.900000,12.208236
0.910000,12.358258
0.920000,12.465038
0.930000,12.673854
0.940000,12.800011
0.950000,13.045779
0.960000,13.196030
0.970000,13.379681
0.980000,13.563010
0.990000,13.761604
1.000000,13.940095
